All Job Skills,Count,% All,Remote Job Skills,Count,% Remote,Non-Remote Job Skills,Count,% Non-Remote
Android Studio,16,0.4%,Manual Testing,5,0.4%,OIDC,12,0.4%
Master Data Management,16,0.4%,Amazon Lambda,5,0.4%,Oracle Linux,12,0.4%
Autodesk Revit,16,0.4%,Program Development,5,0.4%,MAGIC,12,0.4%
Payment Systems,16,0.4%,Software Packaging,5,0.4%,Adobe Flash,12,0.4%
Global Positioning System,16,0.4%,Extraction,5,0.4%,LabVIEW,12,0.4%
Cost Accounting,16,0.4%,Unity,5,0.4%,Strategic Planning,12,0.4%
Quantitative Analysis,16,0.4%,Microsoft SSRS,5,0.4%,Dependability,12,0.4%
Monetization,16,0.4%,Oracle Management Server,5,0.4%,InfiniBand,12,0.4%
VI,16,0.4%,Affinity Propagation,5,0.4%,Rapid Prototyping,12,0.4%
YAML,16,0.4%,Xcode,5,0.4%,VMware,12,0.4%
Manual Testing,16,0.4%,Border Gateway Protocol,5,0.4%,Data Manipulation,12,0.4%
Radio,16,0.4%,Quick Learner,5,0.4%,x86,12,0.4%
Equities,16,0.4%,Tablet,5,0.4%,Core Data,12,0.4%
Ethereum,16,0.4%,MapReduce,5,0.4%,IT Risk Management,11,0.3%
Data Validation,16,0.4%,QA Management,4,0.3%,Lua,11,0.3%
DHCP,16,0.4%,IT Transformation,4,0.3%,Interviewing,11,0.3%
Project Scoping,16,0.4%,Endpoint Protection,4,0.3%,Dependency Injection,11,0.3%
Program Development,16,0.4%,Business Model,4,0.3%,Portfolio Management,11,0.3%
SEC,16,0.4%,Electronic Data Interchange,4,0.3%,Software Analysis,11,0.3%
Healthcare Information Technology,16,0.4%,ICS,4,0.3%,Business Strategy,11,0.3%
RBAC,15,0.3%,Data Compression,4,0.3%,CSS,11,0.3%
Risk Management Framework,15,0.3%,Loan Origination,4,0.3%,Linux Administration,11,0.3%
Virtual Private Network,15,0.3%,DS,4,0.3%,SAP HANA,11,0.3%
Nexus,15,0.3%,ACAPS,4,0.3%,Cabling,11,0.3%
Post-production,15,0.3%,Project Scoping,4,0.3%,Dynamic Testing,11,0.3%
SSL,15,0.3%,XSD,4,0.3%,HDFS,11,0.3%
Development,15,0.3%,WAF,4,0.3%,Hospitality,11,0.3%
JAX,15,0.3%,Business Development,4,0.3%,Manual Testing,11,0.3%
Dimensional Modeling,15,0.3%,Social Media,4,0.3%,Engineering Management,11,0.3%
Mathematical Analysis,15,0.3%,IBM SmartCloud,4,0.3%,Interactive Design,11,0.3%
IT Risk Management,15,0.3%,Test Scenarios,4,0.3%,A/B Testing,11,0.3%
IPv6,15,0.3%,Open Data Protocol,4,0.3%,Television,11,0.3%
Algorithmic Trading,15,0.3%,Document Review,4,0.3%,Apache HBase,11,0.3%
Logic Analyzer,15,0.3%,Red Hat Enterprise Linux,4,0.3%,Virtual Private Network,11,0.3%
Treasury,15,0.3%,CSS,4,0.3%,Batch Processing,11,0.3%
Operations Research,15,0.3%,DirectShow,4,0.3%,Project Coordination,11,0.3%
CICS,15,0.3%,Teradata,4,0.3%,ITIL,11,0.3%
Filing,15,0.3%,Payment Systems,4,0.3%,Relationship Building,11,0.3%
Proposal Writing,15,0.3%,Data Mapping,4,0.3%,Blogging,11,0.3%
Sketch,15,0.3%,Optical Fiber,4,0.3%,Product Support,11,0.3%
PMO,15,0.3%,Unreal Engine,4,0.3%,Inventory Management,11,0.3%
Knowledge Base,15,0.3%,Bluetooth,4,0.3%,Electromechanics,11,0.3%
XSLT,15,0.3%,InfiniBand,4,0.3%,Front Office,11,0.3%
Law Enforcement,15,0.3%,DHCP,4,0.3%,Brainstorming,11,0.3%
ATLAS,15,0.3%,Field Service,4,0.3%,Program Development,11,0.3%
Firmware Development,15,0.3%,CPU,4,0.3%,ELT,11,0.3%
CSS,15,0.3%,Quoting,4,0.3%,Java Developer,11,0.3%
Earned Value Management,15,0.3%,Microsoft Windows Administration,4,0.3%,Business Transformation,11,0.3%
Javascript,15,0.3%,Engineer,4,0.3%,AV,11,0.3%
Business Transformation,15,0.3%,MVP,4,0.3%,Warehouse,11,0.3%
Systems Modeling,15,0.3%,Spring Batch,4,0.3%,Developer,11,0.3%
Cash Flow,15,0.3%,Editing,4,0.3%,TIBCO Software,11,0.3%
DICE,15,0.3%,Data Loading,4,0.3%,SSL,11,0.3%
Collections,15,0.3%,Azure DevOps,4,0.3%,Multi-core,11,0.3%
Black-box Testing,15,0.3%,Standard Operating Procedure,4,0.3%,Software Release Life Cycle,11,0.3%
SNC,15,0.3%,Network Operations,4,0.3%,Apache Airflow,11,0.3%
SAS Cloud Analytic Services,15,0.3%,Sequence Diagrams,4,0.3%,Kickstart,11,0.3%
Dependability,15,0.3%,Business Rules,4,0.3%,Service Operations,10,0.3%
Simulink,14,0.3%,Computerized System Validation,4,0.3%,BIOS,10,0.3%
System Monitoring,14,0.3%,Underwriting,4,0.3%,New Relic,10,0.3%
Foreign Exchange,14,0.3%,Wholesale,4,0.3%,FX,10,0.3%
Structural Analysis,14,0.3%,Economics,4,0.3%,Programmer Analyst,10,0.3%
Job Boards,14,0.3%,Ethernet,4,0.3%,Chicago IL Jobs,10,0.3%
Product Support,14,0.3%,Configuration Management Database,4,0.3%,STIG,10,0.3%
Workflow Management,14,0.3%,Sourcing,4,0.3%,End-user Training,10,0.3%
Log Management,14,0.3%,Network Engineering,4,0.3%,Web Servers,10,0.3%
Border Gateway Protocol,14,0.3%,Microsoft TFS,4,0.3%,UIKit,10,0.3%
OIDC,14,0.3%,Content Management,4,0.3%,Chicago Recruiters,10,0.3%
Apache Solr,14,0.3%,Unstructured Data,4,0.3%,MSCE,10,0.3%
Performance Engineering,14,0.3%,eXist,4,0.3%,Load Testing,10,0.3%
Business Development,14,0.3%,Eclipse,4,0.3%,Process Flow,10,0.3%
Engineering Support,14,0.3%,Control Flow Analysis,4,0.3%,INSPECT,10,0.3%
ISO/IEC 27001:2005,14,0.3%,Amazon Redshift,4,0.3%,Apache Parquet,10,0.3%
Defect Tracking,14,0.3%,Visual Basic,4,0.3%,Epic,10,0.3%
CA Workload Automation AE,14,0.3%,Message Queues,4,0.3%,Spring Security,10,0.3%
Nginx,14,0.3%,Game Development,4,0.3%,iPad,10,0.3%
Stakeholder Engagement,14,0.3%,Broadband,4,0.3%,YAML,10,0.3%
Security Operations,14,0.3%,Cisco Certifications,4,0.3%,PMO,10,0.3%
Business Management,14,0.3%,Back Office,4,0.3%,IPT,10,0.3%
Microsoft Technologies,14,0.3%,Dash Python,4,0.3%,Reverse Engineering,10,0.3%
Project Coordination,14,0.3%,Ubuntu,4,0.3%,Embedded C,10,0.3%
Linux Administration,14,0.3%,Credit Cards,4,0.3%,Neural Network,10,0.3%
Signals Intelligence,14,0.3%,IT Risk Management,4,0.3%,Status Reports,10,0.3%
Sarbanes-Oxley,14,0.3%,Profit And Loss,4,0.3%,Information Retrieval,10,0.3%
Memcached,14,0.3%,Equities,4,0.3%,OpenGL,10,0.3%
Gmail,14,0.3%,Jasmine,4,0.3%,Information Technology Jobs,10,0.3%
Bug Tracking,14,0.3%,SCADA,4,0.3%,CMMI,10,0.3%
IPS,14,0.3%,Business Cases,4,0.3%,IT Jobs,10,0.3%
Data Manipulation,14,0.3%,Bug Tracking,4,0.3%,Project Development,10,0.3%
PCI Express,14,0.3%,SSL,4,0.3%,SIEM,10,0.3%
Software Developer,14,0.3%,Image Processing,4,0.3%,Software Quality Assurance,10,0.3%
Internationalization And Localization,14,0.3%,Workflow Management,4,0.3%,Bug Tracking,10,0.3%
Programmable Logic Controller,14,0.3%,Leadership Development,4,0.3%,Chicago Recruiting,10,0.3%
PMP,14,0.3%,Akamai,4,0.3%,Civil Engineering,10,0.3%
USB,14,0.3%,Apache Tapestry,4,0.3%,Document Management,10,0.3%
Bamboo,14,0.3%,Esri,4,0.3%,Computer Cluster Management,10,0.3%
GUI QA,14,0.3%,Electronic Health Record (EHR),4,0.3%,Simulink,10,0.3%
Reverse Engineering,14,0.3%,Resource Allocation,4,0.3%,D3.js,10,0.3%
Language Models,14,0.3%,Ab Initio,4,0.3%,Bloomberg Terminal,10,0.3%
Interviewing,14,0.3%,Translation,4,0.3%,Monetization,10,0.3%
java,14,0.3%,Graphical User Interface,4,0.3%,Business Development,10,0.3%
SOQL,14,0.3%,ArcGIS,4,0.3%,HIS,10,0.3%
DO-178C,14,0.3%,Delegation,4,0.3%,Workflow Management,10,0.3%
Express.js,14,0.3%,Virtual Private Network,4,0.3%,WPF,10,0.3%
Application Servers,14,0.3%,Firebase,4,0.3%,Layout,10,0.3%
LabVIEW,13,0.3%,Microcontrollers,4,0.3%,Probability,10,0.3%
Public Relations,13,0.3%,Scripting Language,4,0.3%,Design Skills,10,0.3%
Design Skills,13,0.3%,DMA,4,0.3%,Android Studio,10,0.3%
Oracle Management Server,13,0.3%,Business Transformation,4,0.3%,Virtual Private Cloud,10,0.3%
Spring Security,13,0.3%,Functional Testing,4,0.3%,Programmable Logic Controller,9,0.3%
Web Design,13,0.3%,Coverity,4,0.3%,MASS,9,0.3%
Mobile Web,13,0.3%,Design Controls,4,0.3%,Mockups,9,0.3%
UIKit,13,0.3%,NUnit,4,0.3%,Digital Marketing,9,0.3%
Assembly Language,13,0.3%,Bioinformatics,4,0.3%,JSP,9,0.3%
Advanced Analytics,13,0.3%,Informatica,4,0.3%,Records Management,9,0.3%
Apache Airflow,13,0.3%,Robotic Process Automation,4,0.3%,Cisco,9,0.3%
Log Analysis,13,0.3%,Transact-SQL,4,0.3%,Database QA,9,0.3%
MAGIC,13,0.3%,Traceability Matrix,4,0.3%,Laboratory Equipment,9,0.3%
NUnit,13,0.3%,Reverse Engineering,4,0.3%,Ansys,9,0.3%
IMG,13,0.3%,HVAC,4,0.3%,NUnit,9,0.3%
Informatica,13,0.3%,Sockets,4,0.3%,Higher Education,9,0.3%
Oracle Linux,13,0.3%,Microsoft SQL Server Management Studio (SSMS),4,0.3%,Facets,9,0.3%
Antennas,13,0.3%,Commodities,4,0.3%,POC,9,0.3%
Computer Cluster Management,13,0.3%,Journalism,4,0.3%,SEO,9,0.3%
Security Policy,13,0.3%,Satellite,4,0.3%,Threat Analysis,9,0.3%
Inspection,13,0.3%,EDA,4,0.3%,Entrepreneurship,9,0.3%
CMMI,13,0.3%,Cosmos,4,0.3%,Clustering,9,0.3%
SIEM,13,0.3%,Engineering,4,0.3%,Business Requirements Gathering,9,0.3%
IPC,13,0.3%,Code Coverage,4,0.3%,CGI,9,0.3%
Game Development,13,0.3%,Apache NiFi,4,0.3%,FedRAMP,9,0.3%
Numerical Analysis,13,0.3%,Billing,4,0.3%,Pick,9,0.3%
Semantic Search,13,0.3%,IT Risk,4,0.3%,Sketch,9,0.3%
Neo4j,13,0.3%,Data Extraction,4,0.3%,Border Gateway Protocol,9,0.3%
Graph Databases,13,0.3%,Pick,4,0.3%,python,9,0.3%
Hardware QA,13,0.3%,Agile Testing,4,0.3%,Game Development,9,0.3%
Apache Parquet,13,0.3%,C4ISR,4,0.3%,Product Innovation,9,0.3%
Pick,13,0.3%,Financial Technology,4,0.3%,Network Administration,9,0.3%
SCADA,13,0.3%,Creative Problem Solving,4,0.3%,Web Performance Optimization,9,0.3%
HDFS,13,0.3%,SEC,4,0.3%,JAX,9,0.3%
New Relic,13,0.3%,Pharmaceutics,4,0.3%,DO-178C,9,0.3%
OpenGL,13,0.3%,Build Vs Buy,4,0.3%,Software Project Management,9,0.3%
Mechatronics,13,0.3%,Application Lifecycle Management,4,0.3%,Process Engineering,9,0.3%
Typescript,13,0.3%,Quality Control,4,0.3%,SCADA,9,0.3%
Knowledge Management,13,0.3%,System Documentation,4,0.3%,LDAP,9,0.3%
Appium,13,0.3%,Security Policy,4,0.3%,Investor Relations,9,0.3%
Animation,13,0.3%,Global Positioning System,4,0.3%,Drupal,9,0.3%
Status Reports,13,0.3%,Simulink,4,0.3%,Engineering Support,9,0.3%
IT Risk,13,0.3%,Voice Recognition,4,0.3%,Autodesk,9,0.3%
D3.js,13,0.3%,Environment Management,4,0.3%,Knowledge Base,9,0.3%
Engineering Management,12,0.3%,Computer Software,4,0.3%,JCL,9,0.3%
Project Development,12,0.3%,VSP,3,0.2%,IT Risk,9,0.3%
JMX,12,0.3%,IT Asset Management,3,0.2%,Backup Administration,9,0.3%
BMC,12,0.3%,New Relic,3,0.2%,Keras,9,0.3%
Adobe Flash,12,0.3%,CMS,3,0.2%,Smoke Testing,9,0.3%
Multi-core,12,0.3%,Adapter,3,0.2%,OpenLayers,9,0.3%
Process Engineering,12,0.3%,PYTHON,3,0.2%,Backend Testing,9,0.3%
EDA,12,0.3%,Delivery Management,3,0.2%,Kafka,9,0.3%
Standard Operating Procedure,12,0.3%,PMBOK,3,0.2%,Master Data Management,9,0.3%
JNDI,12,0.3%,Medicaid,3,0.2%,Security Policy,9,0.3%
MRO,12,0.3%,Linux Administration,3,0.2%,PCB,9,0.3%
Software Analysis,12,0.3%,Risk Analysis,3,0.2%,STAAD,9,0.3%
Telematics,12,0.3%,Bugzilla,3,0.2%,Oracle Db,9,0.3%
STIG,12,0.3%,Oracle Financials,3,0.2%,PMP,9,0.3%
IPT,12,0.3%,Couchbase,3,0.2%,International Relations,9,0.3%
LDAP,12,0.3%,Escalation Management,3,0.2%,Informatica,9,0.3%
IDP,12,0.3%,Microsoft SQL Server DBA,3,0.2%,Instructional Design,9,0.3%
Facets,12,0.3%,AppDynamics,3,0.2%,SAP HCM,8,0.3%
Cloud Storage,12,0.3%,jBPM,3,0.2%,Application Lifecycle Management,8,0.3%
SEO,12,0.3%,Mobile Device Management,3,0.2%,Filing,8,0.3%
Microsoft IIS,12,0.3%,HP LoadRunner,3,0.2%,Service Desk,8,0.3%
Code Coverage,12,0.3%,Heroku,3,0.2%,Test Suites,8,0.3%
RMS,12,0.3%,Pega,3,0.2%,Semiconductors,8,0.3%
Community Development,12,0.3%,Apache Parquet,3,0.2%,Microsoft Technologies,8,0.3%
FedRAMP,12,0.3%,SPM,3,0.2%,Statistical Models,8,0.3%
Tablet,12,0.3%,Risk Management Framework,3,0.2%,QNX,8,0.3%
Television,12,0.3%,Government Contracting,3,0.2%,Cost Reduction,8,0.3%
Level Design,12,0.3%,Value At Risk,3,0.2%,Product Demonstration,8,0.3%
IBM WebSphere,12,0.3%,GTP,3,0.2%,Event Management,8,0.3%
JTA,12,0.3%,Amazon SES,3,0.2%,Apache Solr,8,0.3%
Brainstorming,12,0.3%,Remote Access,3,0.2%,EDA,8,0.3%
Mockups,12,0.3%,Enterprise Integration,3,0.2%,Language Models,8,0.3%
WPF,12,0.3%,Random Testing,3,0.2%,Rhapsody,8,0.3%
HL7,12,0.3%,Tandem,3,0.2%,Semantics,8,0.3%
Economics,12,0.3%,Visualforce,3,0.2%,Oracle Management Server,8,0.3%
Business Rules,12,0.3%,WMS,3,0.2%,Mathematica,8,0.3%
Agile Management,12,0.3%,Mockups,3,0.2%,Electrical Systems,8,0.3%
MicroStation,12,0.3%,Post-production,3,0.2%,Apache Camel,8,0.3%
Technical Training,12,0.3%,Cloud,3,0.2%,Vector Databases,8,0.3%
Business Cases,12,0.3%,Service Design,3,0.2%,DICE,8,0.3%
Dynamic Testing,12,0.3%,Computer Cluster Management,3,0.2%,Appium,8,0.3%
Capital Expenditures,12,0.3%,Spring Security,3,0.2%,Cloud Foundry,8,0.3%
HIS,12,0.3%,CISA,3,0.2%,DDL,8,0.3%
Ubuntu,12,0.3%,Design Thinking,3,0.2%,RMF,8,0.3%
CGI,12,0.3%,IPsec,3,0.2%,Business Rules,8,0.3%
Feasibility Study,12,0.3%,Nexus,3,0.2%,Standard Operating Procedure,8,0.3%
Application Lifecycle Management,12,0.3%,System Security,3,0.2%,Business Cases,8,0.3%
Technical Communication,12,0.3%,Dimensional Modeling,3,0.2%,Typescript,8,0.3%
Apache HBase,12,0.3%,Problem Management,3,0.2%,HTTPS,8,0.3%
Interactive Design,12,0.3%,ODBC,3,0.2%,Interface Design,8,0.3%
Electronic Warfare,12,0.3%,Financial Management,3,0.2%,Memcached,8,0.3%
Process Flow,12,0.3%,Search Engines,3,0.2%,Python Developer,8,0.3%
General Ledger,11,0.3%,Salesforce,3,0.2%,Lighting,8,0.3%
Unreal Engine,11,0.3%,Software Documentation,3,0.2%,Ubuntu,8,0.3%
Business Requirements Gathering,11,0.3%,Hitachi,3,0.2%,VHDL,8,0.3%
Chicago Recruiting,11,0.3%,Product Demonstration,3,0.2%,Sarbanes-Oxley,8,0.3%
Product Innovation,11,0.3%,FLSA,3,0.2%,Transformer,8,0.3%
QNX,11,0.3%,HR Management,3,0.2%,Economics,8,0.3%
Enterprise JavaBeans,11,0.3%,BMC Control-M,3,0.2%,Code Coverage,8,0.3%
Security Analysis,11,0.3%,UIKit,3,0.2%,Healthcare Information Technology,8,0.3%
Hospitality,11,0.3%,Automation,3,0.2%,CentOS,8,0.3%
IT Jobs,11,0.3%,Time Series,3,0.2%,Google Tag Manager (GTM),8,0.3%
Resource Allocation,11,0.3%,Device Drivers,3,0.2%,Korn Shell,8,0.3%
Web Servers,11,0.3%,OSCP,3,0.2%,Universe,8,0.3%
Core Banking,11,0.3%,Synon,3,0.2%,XSLT,8,0.3%
PDF,11,0.3%,Continuous Monitoring,3,0.2%,Mobile Devices,8,0.3%
Cost Reduction,11,0.3%,Stress Testing,3,0.2%,OSI Model,8,0.3%
Network Administration,11,0.3%,AML,3,0.2%,OpenCL,8,0.3%
python,11,0.3%,Test Execution,3,0.2%,Architect,8,0.3%
OSI,11,0.3%,ADA,3,0.2%,Report Writing,8,0.3%
MASS,11,0.3%,CloudBees,3,0.2%,SFTP,8,0.3%
Unstructured Data,11,0.3%,Multi-factor Authentication,3,0.2%,Reference Data,8,0.3%
Lua,11,0.3%,Budget Management,3,0.2%,CICS,8,0.3%
Keras,11,0.3%,User Interface Design,3,0.2%,PDF,8,0.3%
Drupal,11,0.3%,Zachman Framework,3,0.2%,Corrective And Preventive Action,8,0.3%
Software Quality Assurance,11,0.3%,LDRA,3,0.2%,IDS,8,0.3%
Probability,11,0.3%,Security Management,3,0.2%,Online Learning,8,0.3%
Interface Design,11,0.3%,Conceptual Design,3,0.2%,Network Monitoring,8,0.3%
End-user Training,11,0.3%,SAP ABAP,3,0.2%,SCA,8,0.3%
iPad,11,0.3%,Qt,3,0.2%,Defect Tracking,8,0.3%
BIOS,11,0.3%,SIEM,3,0.2%,OTT,8,0.3%
Good Clinical Practice,11,0.3%,OpenMP,3,0.2%,IT Security,8,0.3%
C4ISR,11,0.3%,Elixir,3,0.2%,Public Sector,7,0.2%
Sockets,11,0.3%,Data Link Layer,3,0.2%,HP LoadRunner,7,0.2%
Information Technology Jobs,11,0.3%,Virtual Reality,3,0.2%,Design Thinking,7,0.2%
Programmer Analyst,11,0.3%,SAN,3,0.2%,Oracle SQL Developer,7,0.2%
Product Demonstration,11,0.3%,Microprocessor,3,0.2%,Information Engineering,7,0.2%
Teradata,11,0.3%,Object Data Manager,3,0.2%,Build Vs Buy,7,0.2%
Configuration Management Database,11,0.3%,.NET Core,3,0.2%,C4ISR,7,0.2%
Underwriting,11,0.3%,Human-computer Interaction,3,0.2%,MFC,7,0.2%
Instructional Design,11,0.3%,Vehicle Insurance,3,0.2%,Operations Support Systems,7,0.2%
McKesson,11,0.3%,CMMI,3,0.2%,Test Scenarios,7,0.2%
Electromechanics,11,0.3%,Design Architecture,3,0.2%,ROS,7,0.2%
Digital Marketing,11,0.3%,RPC,3,0.2%,Budget Management,7,0.2%
Neural Network,11,0.3%,TCP,3,0.2%,Requirements Traceability,7,0.2%
Java Developer,11,0.3%,Public Speaking,3,0.2%,Underwriting,7,0.2%
Strategic Leadership,11,0.3%,Payment Card Industry,3,0.2%,LTE,7,0.2%
Chicago Recruiters,11,0.3%,Oracle Data Mining,3,0.2%,Failure Analysis,7,0.2%
Test Scenarios,11,0.3%,D3.js,3,0.2%,Graph Databases,7,0.2%
Chicago IL Jobs,11,0.3%,Microsoft BizTalk Server,3,0.2%,WildFly,7,0.2%
Build Vs Buy,11,0.3%,Amazon Kinesis,3,0.2%,Sockets,7,0.2%
POC,11,0.3%,Interface Design,3,0.2%,Human-computer Interaction,7,0.2%
Document Management,10,0.2%,VLSI,3,0.2%,Adobe Analytics,7,0.2%
Vendor Relationships,10,0.2%,Sybase,3,0.2%,Blaze,7,0.2%
Affinity Propagation,10,0.2%,microservices,3,0.2%,GDP,7,0.2%
Cisco Certifications,10,0.2%,Product Support,3,0.2%,SDP,7,0.2%
Rhapsody,10,0.2%,Industrial Engineering,3,0.2%,Windows API,7,0.2%
Invoices,10,0.2%,EME,3,0.2%,Automation,7,0.2%
INSPECT,10,0.2%,Regulatory Reporting,3,0.2%,Conceptualization,7,0.2%
Secure Shell,10,0.2%,Status Reports,3,0.2%,Enterprise Services,7,0.2%
HTTPS,10,0.2%,NextGen,3,0.2%,SOW,7,0.2%
Visual Basic,10,0.2%,Active Directory,3,0.2%,Agile Management,7,0.2%
Multi-factor Authentication,10,0.2%,ATM,3,0.2%,Unstructured Data,7,0.2%
Embedded C,10,0.2%,Endevor,3,0.2%,Teradata,7,0.2%
Autodesk,10,0.2%,New Product Introduction,3,0.2%,Point Of Sale,7,0.2%
SAP ERP,10,0.2%,User Research,3,0.2%,Web Security,7,0.2%
Threat Analysis,10,0.2%,Apache Ant,3,0.2%,OSPF,7,0.2%
Computer Software,10,0.2%,SLA,3,0.2%,Groupware,7,0.2%
Architect,10,0.2%,X.509,3,0.2%,TACL,7,0.2%
Backup Administration,10,0.2%,MPI,3,0.2%,CloudBees,7,0.2%
Spring Batch,10,0.2%,Applied Mathematics,3,0.2%,Configuration Management Database,7,0.2%
Laboratory Equipment,10,0.2%,Business Objects,3,0.2%,Electrical Wiring,7,0.2%
Field Service,10,0.2%,SEO,3,0.2%,Computational Science,7,0.2%
Apache Camel,10,0.2%,Change Data Capture,3,0.2%,Database Security,7,0.2%
CISM,10,0.2%,Oscilloscope,3,0.2%,Performance Appraisal,7,0.2%
Human-computer Interaction,10,0.2%,Routers,3,0.2%,Concurrent Programming,7,0.2%
Sourcing,10,0.2%,Cellular,3,0.2%,Numerical Analysis,7,0.2%
Bloomberg Terminal,10,0.2%,Staff Management,3,0.2%,SysML,7,0.2%
Smoke Testing,10,0.2%,VSAM,3,0.2%,Unsupervised Learning,7,0.2%
MSCE,10,0.2%,Dependability,3,0.2%,java,7,0.2%
Visual Basic .NET,10,0.2%,Call Center,3,0.2%,Resource Allocation,7,0.2%
Bioinformatics,10,0.2%,SAP Fiori,3,0.2%,Modbus,7,0.2%
Defect Management,10,0.2%,Process Management,3,0.2%,SANS,7,0.2%
WAF,10,0.2%,Merger Integration,3,0.2%,Service Delivery Platform,7,0.2%
Sonar,10,0.2%,Oracle Policy Automation,3,0.2%,RBAC,7,0.2%
Budget Management,10,0.2%,Warehouse Management,3,0.2%,Programming,7,0.2%
CloudBees,10,0.2%,LMS,3,0.2%,Security Awareness,7,0.2%
Civil Engineering,10,0.2%,Manufacturing Engineering,3,0.2%,Stress Testing,7,0.2%
ROS,10,0.2%,Natural Language,3,0.2%,Microsoft Windows NT,7,0.2%
Engineering,10,0.2%,Laravel,3,0.2%,Strategy Development,7,0.2%
Back Office,10,0.2%,RTOS,3,0.2%,ADO,7,0.2%
Amazon SageMaker,10,0.2%,Satellite Communications,3,0.2%,Collections,7,0.2%
Requirements Traceability,10,0.2%,ATLAS,3,0.2%,Forensics,7,0.2%
Corrective And Preventive Action,10,0.2%,Lean Six Sigma,3,0.2%,Microsoft IIS,7,0.2%
Automation,10,0.2%,Java SE,3,0.2%,Fortran,7,0.2%
RPO,10,0.2%,Slack,3,0.2%,Google Maps,7,0.2%
Records Management,10,0.2%,Interviewing,3,0.2%,Predictive Analytics,7,0.2%
HP LoadRunner,10,0.2%,Proprietary Software,3,0.2%,GCS,7,0.2%
Nursing,10,0.2%,IIS,3,0.2%,Set-top Box,7,0.2%
Vulnerability Assessment,10,0.2%,Cloudera Impala,3,0.2%,WAN,7,0.2%
Design Thinking,10,0.2%,Video Games,3,0.2%,MagicDraw,7,0.2%
Stress Testing,10,0.2%,Vertex,3,0.2%,Mortgage,7,0.2%
Endpoint Protection,10,0.2%,.net,3,0.2%,Unreal Engine,7,0.2%
Event Management,10,0.2%,c#,3,0.2%,REST,7,0.2%
Lighting,10,0.2%,Bloomberg,3,0.2%,LLM,7,0.2%
Transformer,10,0.2%,GCP,3,0.2%,CA Workload Automation AE,7,0.2%
Middle Office,10,0.2%,Property And Casualty Insurance,3,0.2%,OFAC,7,0.2%
OTT,9,0.2%,Enterprise Application Integration,3,0.2%,MIDAS,7,0.2%
Semiconductors,9,0.2%,CGI,3,0.2%,GUI QA,7,0.2%
Database QA,9,0.2%,TPM,3,0.2%,Tablet,7,0.2%
WildFly,9,0.2%,Requirements Traceability,3,0.2%,Multi-factor Authentication,7,0.2%
Flowchart,9,0.2%,Content Management Systems,3,0.2%,Flowchart,7,0.2%
Enterprise Integration,9,0.2%,Cost Reduction,3,0.2%,Human Factors And Ergonomics,7,0.2%
SAS,9,0.2%,Cadence,3,0.2%,Database Architecture,7,0.2%
Operations Support Systems,9,0.2%,ASC X12,3,0.2%,Biomedical Engineering,7,0.2%
Concurrent Programming,9,0.2%,Security QA,3,0.2%,General Ledger,6,0.2%
VersionOne,9,0.2%,FedRAMP,3,0.2%,Apache Beam,6,0.2%
PYTHON,9,0.2%,OpenGL,3,0.2%,Ceph,6,0.2%
OpenStack,9,0.2%,Data Validation,3,0.2%,Web Design,6,0.2%
Web Application Security,9,0.2%,LINQ,3,0.2%,Telemedicine,6,0.2%
RMF,9,0.2%,Query Optimization,3,0.2%,Database Performance Tuning,6,0.2%
Universe,9,0.2%,PDF,3,0.2%,SOQL,6,0.2%
Investor Relations,9,0.2%,SAP NetWeaver,3,0.2%,Pytest,6,0.2%
International Relations,9,0.2%,Intrusion Detection,3,0.2%,Power Electronics,6,0.2%
Failover,9,0.2%,QNX,3,0.2%,HL7,6,0.2%
OOPS,9,0.2%,RF,3,0.2%,Perforce,6,0.2%
Search Technologies,9,0.2%,Certified Ethical Hacker,3,0.2%,Tandem,6,0.2%
Resource Planning,9,0.2%,Project Coordination,3,0.2%,ICE,6,0.2%
Selenium WebDriver,9,0.2%,NIST SP 800 Series,3,0.2%,Cisco Certifications,6,0.2%
Entrepreneurship,9,0.2%,MQTT,3,0.2%,JDK,6,0.2%
Enterprise Services,9,0.2%,Design Of Experiments,3,0.2%,Spring Batch,6,0.2%
Electrical Systems,9,0.2%,Design Skills,3,0.2%,Microsoft SCCM,6,0.2%
Mortgage,9,0.2%,ROS,3,0.2%,WMS,6,0.2%
eXist,9,0.2%,Requirements Management,3,0.2%,Sourcing,6,0.2%
Reference Data,9,0.2%,iCIMS,3,0.2%,Natural Language,6,0.2%
IDS,9,0.2%,Quantitative Analysis,3,0.2%,Neo4j,6,0.2%
Business Administration,9,0.2%,Wireshark,3,0.2%,Log Analysis,6,0.2%
DSL,9,0.2%,OS X,3,0.2%,Microsoft Word,6,0.2%
Design Controls,9,0.2%,Process Engineering,3,0.2%,BMC Control-M,6,0.2%
GCS,9,0.2%,PCI DSS,3,0.2%,RTP,6,0.2%
Korn Shell,9,0.2%,Technology Assessment,3,0.2%,DNA,6,0.2%
Coverity,9,0.2%,Vulnerability Scanning,3,0.2%,EVMS,6,0.2%
Software Project Management,9,0.2%,LDAP,3,0.2%,PYTHON,6,0.2%
Kafka,9,0.2%,RESTful APIs,3,0.2%,DOM,6,0.2%
Natural Language,9,0.2%,Kernel-based Virtual Machine,3,0.2%,Technical Communication,6,0.2%
ADO,9,0.2%,Web Application Security,3,0.2%,Video Streaming,6,0.2%
